Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Multifamily Housing,3,45,215384,1,7223210.8,2045023.2,0,0,51,123.1,52.7,127.8,1140.3,6.3
Multifamily Housing,2.5,57,150000,1,5592022.3,1009330.9,0,0,44,111.4,45.6,115.7,852.3,5.7
Multifamily Housing,4,100,287000,1,2266512.8,6468930,0,0,30.4,45.8,32.9,47.8,667.3,2.3
Multifamily Housing,4,64,189852,1,3832365.2,14007000.1,0,0,94,134,100.8,139.8,1291.3,6.8
Multifamily Housing,4,89,116380,1,1850351.1,6452616.5,0,0,71.3,102.7,76.2,106.7,607,5.2
Multifamily Housing,3,66,599388,1,9506224.4,32082261.8,0,0,78.4,113.6,81.9,116,3061.8,5.8
Multifamily Housing,3.5,55,489535,1,10483438.2,25210698,0,0,81.8,127.9,87.8,133,2836.4,6.5
Multifamily Housing,2,30,128816,1,3038884.2,9163616.8,0,0,103.4,153.6,111.6,160,920.8,7.8
Multifamily Housing,2,45,220300,1,4959539.9,12858000.5,0,0,92.1,141.5,98.6,146.5,1391.3,7.2
Multifamily Housing,3,69,345808,1,4668138,20792901.5,0,0,91.2,125,99.6,133.8,1771.1,6.3
Multifamily Housing,4,78,158320,1,2027728.7,8688885.8,0,0,73.6,101.7,73.6,101.7,751.1,5.2
Multifamily Housing,4,94,210000,1,2408776.5,10399999.5,0,0,61,84.1,63.6,85.7,896.4,4.3
Multifamily Housing,4,98,228057,1,767170.1,13498774,0,0,63.8,73,70.9,80.2,826.6,3.7
Multifamily Housing,4,63,275406,1,4549089.9,16194589.5,0,0,87.7,125.8,93.2,130.1,1509.9,6.4
Multifamily Housing,1,6,205906,1,7789862.1,21373300.6,0,0,141.6,214.9,153,224.9,2247.8,10.9
Multifamily Housing,4,90,341201,1,4593091.1,17228182.7,0,0,78.5,111.3,84.1,117.2,1571.1,5.6
Multifamily Housing,3,43,291260,1,4707884.4,19600293.2,0,0,102.6,142.6,110.9,151.2,1713.5,7.2
Multifamily Housing,4,65,189225,1,2912970.1,11868665.2,0,0,90.1,125.7,97.5,133.4,1046.5,6.4
Multifamily Housing,3.5,59,165792,1,4874683.5,5155848.2,0,0,65,123.6,67.8,127.5,970.1,6.3
Multifamily Housing,3,44,260000,1,5130726.8,23418080.5,0,0,114.2,155.8,123.5,165.6,1976.7,7.9
Multifamily Housing,3,65,286170,1,7726190.8,6572761.5,0,0,57.3,114.3,60.8,120.6,1452.6,5.8
Multifamily Housing,3.5,55,134774,1,1868469.2,10223782.5,0,0,102.2,135,110.3,143.5,809.9,6.8
Multifamily Housing,3.5,60,110000,1,3078445.3,5571445.6,0,0,78.6,131.5,83.5,136.7,735.6,6.7
Multifamily Housing,4,82,150000,1,2283405.9,6446768.5,0,0,58.2,87.8,63.1,93,668.5,4.5
Multifamily Housing,2,45,370000,1,13638483.9,4044900.1,0,0,47.8,114.7,50.2,120.8,2162.8,5.8
Multifamily Housing,2,21,149551,1,3280448.6,12176687.4,0,0,122.9,174.6,131.9,182.7,1115.3,8.9
Multifamily Housing,4,94,269311,1,4486278.4,10586678.2,0,0,56,87.9,58.9,90.5,1203.1,4.5
Multifamily Housing,4,100,273845,1,4775670.6,0,0,0,17.4,48.8,19.5,54.7,682.1,2.5
Multifamily Housing,4,61,245000,1,3539520.1,14753367.9,0,0,85.1,118.1,91.9,125.3,1289.2,6
Multifamily Housing,3.5,60,1460101,1,29467475.3,84813598.2,0,0,78.3,117.5,83,121.6,8713.6,6
Multifamily Housing,4,96,638697,1,10039117.4,12492539.9,0,0,35.3,64.5,36.7,65.6,2097.4,3.3
Multifamily Housing,1,3,143925,1,4974771.1,19629874.6,0,0,171,240,186.8,256.7,1753.2,12.2
Multifamily Housing,2,44,139733,1,3038566.2,11762002.3,0,0,113.3,159.7,121.8,169.4,1058.7,8.1
Multifamily Housing,3,66,235600,2,4795074.7,13500200.6,0,0,84.1,126.8,90.1,131.7,1401.9,6.4
Multifamily Housing,3.5,52,81140,1,1175942.4,7032020.1,0,0,101.2,131.6,110.7,141.6,541.5,6.7
Multifamily Housing,2,45,59310,1,1021511.9,4921600.1,0,0,100.2,135.4,107.9,142.5,407.3,6.9
Multifamily Housing,2,46,138318,1,1919258.5,8049688.2,0,0,94,130.4,100.7,137.4,701.7,6.6
Multifamily Housing,1.5,32,381983,1,7657845,25847607.8,0,0,100,145,109.3,154.8,2466.6,7.4
Multifamily Housing,2.5,34,230250,1,4244384.7,17974650.6,0,0,126.3,174.8,137.7,186.8,1560.9,8.9
Multifamily Housing,2.5,39,308690,1,6137700.1,24969868.6,0,0,113.9,158.9,122.6,167,2202.9,8.1
Multifamily Housing,4,76,361990,1,12553901.3,0,0,0,39.8,111.5,42.8,119.8,1793,5.7
Senior Living Community,2,25,76387,1,2253718.1,3625499.6,0,0,77,132.4,80.9,135.6,514.5,6.7
Office,3.5,78,1339945,1,54576748.4,2585417.4,0,0,46.1,125.5,47.7,130,7932.3,6.4
Hotel,4,74,782000,1,25225799.7,51230966.9,0,0,106.9,174,112.4,179.8,6324,8.8
Multifamily Housing,4,90,387210,1,6488962.1,16330781.1,0,0,58.9,91.2,63.2,94.6,1794.2,4.6
Hotel,4,76,515556,1,16263693.8,13348945.8,0,21467807.7,113.9,171.3,109.5,168.3,0,0
Multifamily Housing,1,6,754256,1,29094414,39002996.8,0,0,108.4,194.9,108.4,194.9,6227.1,9.9
Hotel,2,17,410081,1,36661257.6,16326399.8,0,0,129.2,292.1,131.4,294.5,6103.4,14.9
Hotel,4,86,381540,1,9151253.5,14677305.6,0,9313152.5,86.9,129.8,88.3,131.5,2577.4,6.8
Office,3.5,75,241552,1,10177525.1,1077930.6,0,0,46.6,122.7,47.1,123.2,1510.9,6.3
Office,4,95,200150,1,4283018.8,0,0,0,21.4,59.9,21.4,59.9,611.7,3.1
Hotel,2.5,37,343240,1,17543030,19672900.3,0,0,108.4,203.3,111.6,206.6,3550.5,10.3
Office,4,90,263890,1,9429962.8,4987467.9,0,0,63.6,139.5,65.8,141,1611.8,7.1
Senior Living Community,3.5,58,191337,1,6742234.8,13247400.2,0,0,106.6,174.9,111.5,178.2,1666.6,8.9
Hotel,4,82,239678,1,9126895.3,7453619.6,0,0,69.2,139.3,71.3,141.5,1699.5,7.1
Office,3.5,57,240076,1,12136422.6,15084866.8,0,0,113.4,207.5,120.3,214.8,2534.6,10.6
Hotel,3.5,76,314666,1,11376587.2,14882667.7,0,0,83.5,150.9,87.7,155.4,2415.4,7.7
Hotel,1,6,72000,1,9388196.5,8583270.1,0,0,249.6,490.3,259.2,500.3,1796.8,25
Office,4,94,632163,1,18318604.9,123162.3,0,0,29.2,81.3,29.2,81.3,2622.9,4.1
Hotel,1,6,132872,1,13386344,21267952.4,0,0,260.8,450.2,278,468.2,3041.6,22.9
Hotel,1.5,31,118403,1,7664512.1,3798542.7,0,0,96.8,214.9,101,221.9,1296.5,10.9
Office,3.5,73,204321,1,7856935.2,8500338.1,0,0,80.1,151.4,85,156.5,1573.7,7.7
Multifamily Housing,1,4,363053,1,10931311,33334639.4,0,0,145.5,215.7,156.8,227.6,3331.8,11
Multifamily Housing,2,43,475674,1,13865863,11110945.6,0,0,71,143.4,73.2,145.6,2570.6,7.3
Multifamily Housing,4,96,568269,1,7173044.2,11643700.1,0,0,48.6,83.4,50.1,83.3,1643,4.2
Multifamily Housing,4,81,938000,36,11955228.3,68432528.2,0,0,85.7,112.3,93.4,120.3,5342.3,5.7
Multifamily Housing,3.5,54,465907,1,9958160.8,20478857.8,0,0,80,129.9,82.7,130.1,2510,6.6
Multifamily Housing,2.5,32,571181,1,27284402.6,5515499.6,0,0,57.4,143.9,57.9,144.4,4189.9,7.3
Multifamily Housing,3.5,80,771816,1,13014319.9,27661681.7,0,0,56.9,91.5,60.1,94.2,3328,4.7
Multifamily Housing,1,20,691865,1,16372816.4,30430102.9,0,0,94.1,156.5,99,159.8,3954.8,8
Hotel,3.5,54,907563,1,32212125.6,44031717.8,0,23062396.1,109.4,173.4,111,175.4,8154.9,9
Multifamily Housing,2.5,36,289267,1,5360886.6,26392301,0,0,109.8,147.7,119.6,157.3,2167.5,7.5
Multifamily Housing,1,2,663464,1,43171456,22295492.7,0,0,107.2,236.3,110.7,241.1,7350.2,12
Multifamily Housing,1,4,364866,1,10813293.3,14179730.4,0,13941072,119.3,177.2,120,179.7,0,0
Multifamily Housing,1.5,39,954102,1,23068723.1,33693171.2,0,0,72.4,127.5,74.8,128.1,5084.4,6.5
Multifamily Housing,1.5,40,642408,2,13612225.2,38763000.6,0,0,84.7,127.4,88.7,130.9,4003.1,6.5
Multifamily Housing,3,64,553115,1,9078359.6,35880759,0,0,91.7,128.7,98.5,135.4,3202.4,6.5
Multifamily Housing,4,81,214622,1,7718790.2,1269999.1,0,0,41.9,106.9,42,106,1169.9,5.5
Multifamily Housing,4,82,477383,1,12176882.1,8602003.7,0,0,43.5,90.3,44.5,91.2,2196.1,4.6
Multifamily Housing,4,87,1210471,1,22991509.5,25923299.7,0,0,46.9,87.8,49.2,89.7,4660.7,4.5
Multifamily Housing,3,70,554648,1,10772226.5,19708640.3,0,0,79.3,132.4,83.8,135.4,2585.4,6.7
Multifamily Housing,4,99,1072297,5,12385822.7,37574802.5,0,0,46.6,69.1,49.6,70.6,3764.8,3.5
Mixed Use Property,4,91,1686996,1,28377334.5,19934810.5,0,0,44.4,92.4,46.7,96.2,5111.9,4.7
Multifamily Housing,1,30,586825,1,20423382.4,17728701.5,0,0,83.4,165.8,86.4,170,3858.7,8.4
Multifamily Housing,4,66,355000,1,8189919.1,15619517.1,0,0,73.3,121,78.4,125.4,1999.4,6.2
Multifamily Housing,1.5,40,615718,1,15204609,28127025.7,0,0,89.4,148.7,94.4,152.2,3665.6,7.6
Multifamily Housing,1.5,31,237645,1,6329775.2,9757180.5,0,0,94.3,163.9,99.2,166.5,1422.3,8.3
Multifamily Housing,4,87,892542,1,17371730.6,14477651.3,0,0,44.4,89.1,45.6,89.4,3250.1,4.5
Multifamily Housing,4,82,679680,1,13921983.6,18056368.7,0,0,55.7,100.9,57.4,102,2947.5,5.1
Multifamily Housing,2,13,597377,1,18966096.7,12501574,0,0,81.1,170.8,83.6,173.4,3372.9,8.7
Multifamily Housing,1,3,312000,1,8004575.9,26779316.9,0,0,111.5,162,119.3,168.9,2565.6,8.2
Multifamily Housing,4,92,104388,1,823442.9,6049930,0,0,65.8,82.9,71.4,88.7,439,4.2
Multifamily Housing,3,64,273708,1,3910977.7,17839200.8,0,0,97.1,132.5,104.2,139.4,1506.1,6.7
Multifamily Housing,3,70,294300,6,7475965,5383039.2,0,0,43.7,90.3,45.1,94.2,1353.7,4.6
Multifamily Housing,4,80,145964,1,2705436.2,6272625.6,0,0,69.9,110.2,74.9,113.9,719.6,5.6
Multifamily Housing,1,13,168457,1,6998213.3,13164406.2,0,0,119.7,198.4,124.2,201.8,1698.8,10.1
Multifamily Housing,3.5,79,292445,1,6907106.1,11335555.7,0,0,62.4,106.8,65.2,107.6,1588.6,5.4
Multifamily Housing,4,86,554253,2,8089585.9,32132303.8,0,0,89.1,124.9,95.5,131.6,2862.1,6.3
Multifamily Housing,4,72,205348,1,8066015.8,9440469.1,0,0,89,165.1,94.5,170.9,1653.5,8.4
Multifamily Housing,4,92,243432,1,4984297.4,4220575.7,0,0,45.5,90.9,46,90.1,936.1,4.6
Multifamily Housing,2,47,431149,1,7866168.1,25526062,0,0,93.5,136.8,101.9,145,2479.3,6.9
Multifamily Housing,4,73,429600,1,8631827.7,14742388.2,0,0,60.3,102.3,64.3,105.3,2015.9,5.2
Multifamily Housing,3.5,57,329942,1,8786053.5,7035835.7,0,0,61.8,125,63.8,125.8,1628.6,6.4
Multifamily Housing,4,97,291927,1,4069605,6367560.8,0,0,40.5,70.2,42.6,71.8,919.5,3.6
Multifamily Housing,1,10,270000,4,4027197.2,30249147.2,0,0,149,187.1,162.1,200.1,2181.9,9.5
Multifamily Housing,4,68,558894,1,13749271.6,14278189.8,0,0,61.9,118.2,63.6,120,2722.1,6
Multifamily Housing,3,64,686958,1,14565244.5,19521107.7,0,0,68.1,122.5,72.1,126,3117.2,6.2
Multifamily Housing,2.5,53,383817,1,9167167.1,15252673.8,0,0,77.8,132.8,82.8,136.9,2119.5,6.8
Multifamily Housing,4,91,662237,1,13336426.4,10198974.3,0,0,41.4,84.6,42.9,86.2,2446.5,4.3
Multifamily Housing,4,100,168947,1,1693783,4546448.3,0,0,36.9,56.3,39.1,58.1,483.4,2.9
Multifamily Housing,4,68,247000,1,4548001.5,15788999.8,0,0,82.3,118.7,88.7,125.4,1488.2,6
Multifamily Housing,3.5,72,462099,1,11380852.2,7144846.9,0,0,47,99.9,48.4,100.5,2005,5.1
Multifamily Housing,1,24,249845,1,5828934.6,16268153.4,0,0,107.9,163.1,114.2,167.2,1696.6,8.3
Multifamily Housing,3.5,52,188837,1,7781646,7683714.2,0,0,81.9,158.1,84.7,161.2,1519.5,8
Multifamily Housing,4,95,715976,1,8100067.5,21526707.4,0,0,52.3,80,55.2,81.8,2300.3,4.1
Residence Hall/Dormitory,4,83,246327,1,5977694.3,7844429.2,0,0,56.1,101.4,59.6,105,1270.4,5.2
Hotel,4,100,250000,1,53540.3,2986159.6,0,0,12.2,13.1,12.2,13.1,166.3,0.7
Hotel,1,1,108228,1,15563766.3,4314042.3,0,0,183.7,444.5,188.8,449.9,2452.1,22.7
Multifamily Housing,3.5,74,337712,1,9850041.4,2936924.8,0,0,49.6,119,51.8,124.3,1562.8,6.1
Multifamily Housing,4,98,261354,1,2556355.7,10775872.9,0,0,51,70.7,55.7,75.1,937.5,3.6
Office,3.5,80,1484327,1,54160791.4,0,0,27202907,57.9,125.5,57.2,127.9,9169.2,6.5
Multifamily Housing,1,1,176317,1,10949732.4,20910000.3,0,0,224.6,371,238.2,385.2,2674.5,18.9
Multifamily Housing,4,95,392548,1,5457811.3,12207771.7,0,0,55.6,88.4,58,90.9,1427.9,4.5
Multifamily Housing,1,20,155910,1,5141846.5,8313575.5,0,0,97.2,167,103.2,171,1176,8.5
Multifamily Housing,1.5,40,284429,1,9558796.5,8399509.9,0,0,78.4,155.4,81.1,158.2,1811.4,7.9
Multifamily Housing,2,43,541240,1,19367805.1,4755380.4,0,0,52.3,128.3,54.9,135.3,3018.8,6.5
Multifamily Housing,4,88,215000,2,5119460.3,7128203.3,0,0,57,101.5,60.7,106.2,1109.8,5.2
Residence Hall/Dormitory,4,81,61053,1,1500722.1,2720929.2,0,0,69.1,115.6,73.8,119.6,358.9,5.9
K-12 School,3.5,80,110443,2,1468703.9,4725179.6,0,0,56.1,82.2,61.5,87.8,460.7,4.2
K-12 School,2.5,53,51303,2,1917232.8,368920,0,0,44.6,112.2,47.4,118.7,293.4,5.7
K-12 School,4,97,96858,1,805465.4,2508729.9,0,0,34.2,50.5,38.4,55.5,248.3,2.6
K-12 School,3,61,169870,1,3432059.1,9905810,0,0,78.5,117.8,78.5,117.8,1016.3,6
K-12 School,1,21,66950,1,1942896.9,4798130.1,0,0,100.7,156.5,110,164.7,532.3,8
K-12 School,4,82,187689,1,3208076.7,6086503.3,0,0,49.5,81.9,53.4,85,781.5,4.2
Retail Store,2.5,53,173856,1,8941422.4,5329099.9,0,0,84.4,181.2,87.6,184.6,1560.1,9.2
Multifamily Housing,1,1,720415,1,29095331.8,109276900.6,0,0,243.1,344.7,243.7,346.5,9959.8,17.5
K-12 School,2.5,56,124443,1,1777249.4,8493600.4,0,0,82.5,111.7,92,121.6,705,5.7
Office,3.5,57,102929,1,3802714.9,6540703.8,0,0,109.7,185.8,116.5,189.8,890.5,9.4
Hotel,4,85,71038,1,1808316,4235937.9,0,0,85.1,133.9,91.2,140.3,483.3,6.8
Medical Office,2,46,51825,1,3440950.8,0,0,0,66.4,185.9,66.4,185.9,491.5,9.5
Medical Office,1,8,126145,1,6431678,0,0,0,108.4,303.5,109,305.2,918.6,15.5
Hospital (General Medical & Surgical),4,94,205000,2,16988812,18775836,0,0,174.5,328.2,176.4,326.4,3423.7,16.7
Office,1,11,183047,1,17136991.8,0,0,0,93.6,262.1,91,254.7,2447.6,13.4
Multifamily Housing,4,100,230377,1,1381935.1,6967053.2,0,0,36.2,48.6,39.4,51.2,567.4,2.5
Multifamily Housing,4,81,71829,1,590484.1,4515548.3,0,0,81.4,101.9,87.8,108.6,324.2,5.2
Senior Living Community,1,7,147129,1,10911064.2,4619300,0,0,105.6,240.6,110,249.3,1803.7,12.3
Multifamily Housing,4,100,37485,0,845077.3,25455.9,0,0,23.2,63.8,22.7,62.4,122.1,3.3
Residence Hall/Dormitory,3,68,121626,1,6073824,0,0,0,49.9,139.8,47.9,134.2,867.5,7.1
Supermarket/Grocery Store,2.5,59,71373,1,11756820.5,6879400.3,0,0,261.1,562.4,267.8,564.7,2044.6,28.6
Hotel,2.5,53,644940,1,21445668.8,56535779.8,0,0,120.9,185.1,126.5,189.4,6065.9,9.4
Multifamily Housing,4,78,139827,1,2493934.5,4903797.6,0,0,52.9,86.8,56.8,90.8,616.7,4.4
Multifamily Housing,2.5,53,328617,1,6474703.3,18077916.3,0,0,90.8,137.3,96.1,141.5,1885,7
K-12 School,2.5,58,263250,2,6791473.4,8806379.5,0,0,59.3,107.4,62.5,109.7,1437.8,5.5
Retail Store,4,81,512215,1,8589887.4,2463387.1,0,0,46.9,113,47.8,112.8,1357.7,5.8
K-12 School,4,96,105351,1,670226,3469960.2,0,0,39.3,52.4,44.1,58,280,2.7
Residence Hall/Dormitory,2,21,68779,1,2228046.6,5882313.6,0,0,117.9,180.5,126.2,187.4,630.7,9.2
K-12 School,3.5,80,341821,3,4797074.1,16620778.6,0,0,62.7,90.4,68.8,96.8,1568,4.6
K-12 School,3,68,298432,2,6883375.6,12197470.4,0,0,63.9,107.5,68.5,112.2,1631,5.5
Multifamily Housing,4,96,244440,1,3215600.5,13416694.2,0,0,68,94.5,73.3,98.4,1171.9,4.8
Multifamily Housing,4,98,394449,1,5534455.1,11122250.6,0,0,42.2,68.9,43.5,69.9,1381.2,3.5
K-12 School,4,78,85000,1,415887.7,5222226.3,0,0,66.3,78.2,73.4,85.6,336.8,4
Multifamily Housing,2.5,52,66000,1,1610657.5,2931897.5,0,0,68.8,115,71.1,115.1,385.8,5.8
Multifamily Housing,4,82,60000,1,1144562.9,2174300,0,0,55.3,91.5,58.4,93.7,279,4.6
Multifamily Housing,4,86,65000,1,1064192.6,2859257,0,0,60.4,92,63.7,93.6,303.9,4.7
Supermarket/Grocery Store,4,84,421189,1,9600648.1,6761032.3,0,0,111.9,232.4,116.4,236.4,1730.3,11.8
Multifamily Housing,4,100,127575,1,2637138.2,0,0,0,20.7,57.9,20,56,376.7,3
K-12 School,4,96,111882,1,765845.2,5041729.7,0,0,51.9,66.5,58,72.9,377.2,3.4
K-12 School,4,97,231870,1,1063696.5,7630429.7,0,0,49.4,62.5,54.2,67.4,557.2,3.2
K-12 School,4,85,76410,1,720106.7,3541150,0,0,55.8,75,62,81.6,290.9,3.8
Senior Living Community,4,75,85816,1,2651516,6133499.9,0,0,131.3,207.2,135.2,209.2,704.5,10.5
Multifamily Housing,1,16,122400,1,3813803.9,10332699.7,0,0,115.6,175.9,124.1,184.9,1093.5,8.9
Multifamily Housing,2.5,53,220000,1,4553740.5,10626076.9,0,0,74,116.6,79.4,120.9,1214.8,5.9
Multifamily Housing,3.5,72,104400,1,1990790.8,8350500.1,0,0,99.1,137.4,104.9,142.3,727.9,7
Multifamily Housing,1.5,33,90080,1,1831464,7337028.7,0,0,106.4,148.9,117,160,651.3,7.6
Office,3,45,102535,1,7780015.1,0,0,0,75.9,212.5,78,218.4,1111.2,10.8
Multifamily Housing,2.5,51,97403,1,1230473,6762365.6,0,0,82.1,108.3,89.8,115.2,534.9,5.5
Multifamily Housing,3,50,99680,1,2238640.5,8745745.5,0,0,110.2,155,117.2,162.4,784.3,7.9
Office,4,85,128600,1,4814850.6,3787745.8,0,0,66.9,135.8,70,137.2,888.9,6.9
Hotel,4,62,83961,1,5344979.9,1485305.3,0,0,81.4,196.8,81.4,196.8,842.3,10
Multifamily Housing,4,99,61000,1,1335654,0,0,0,21.9,61.3,21.4,59.9,190.8,3.1
Multifamily Housing,4,100,70292,1,612310.7,2120742.1,0,0,38.9,56.1,42.3,59.7,200.1,2.8
Multifamily Housing,4,98,86544,1,816600.8,3320751.8,0,0,47.8,66.7,50.7,69,293,3.4
Multifamily Housing,4,97,178600,1,2649559.3,4918644.1,0,0,42.4,70.5,44.5,72.2,639.7,3.6
Multifamily Housing,3.5,71,151284,5,3690409,4220789.8,0,0,57.5,107.4,58.7,106.9,751.3,5.5
Multifamily Housing,4,99,139200,1,1622587.9,3452489.9,0,0,42.3,68.1,44.7,70.3,415.1,3.5
Office,3,70,77000,1,3414108.6,1049052.9,0,0,58,138.5,61.6,146,543.3,7.1
Multifamily Housing,3.5,60,65340,1,1286106.7,4269600.1,0,0,85,123.7,91.6,130.7,410.5,6.3
Multifamily Housing,4,72,177000,1,3785975.7,9078399.9,0,0,72.7,113.7,76.9,116.3,1022.9,5.8
Office,2.5,35,115232,1,7237101.1,6622531.3,0,0,120.3,236.2,121.3,239.1,1385.4,12
Multifamily Housing,4,98,142998,1,1609499.8,3823799.6,0,0,41.8,65.6,44.4,67.6,433,3.3
K-12 School,1,4,118704,1,6382238.1,1009584,0,0,70.2,179.8,71.2,180.9,965.2,9.2
Office,3,43,57251,1,8739223.8,2125974.3,0,0,189.8,466.4,192.2,467.1,1361.1,23.8
Multifamily Housing,4,96,277185,3,3949338.8,12408759.8,0,0,59,86.9,63.3,91.4,1223.2,4.4
Multifamily Housing,1,19,128820,2,6242486,5992250.2,0,0,95,184.5,98.4,188.2,1209.9,9.4
Multifamily Housing,4,83,91968,0,918687.8,3330908.9,0,0,62.5,89.3,66.1,91.9,308.1,4.5
K-12 School,2.5,56,111030,1,4089162.6,1626348.3,0,0,51.5,118.5,54.8,124.3,670.4,6
Multifamily Housing,4,88,204036,1,3812944.1,4053390.2,0,0,50.7,96.2,52.2,97.3,759.9,4.9
Multifamily Housing,4,86,101000,1,1374187.4,3851706.8,0,0,60.9,92,64.6,94.7,400.9,4.7
Multifamily Housing,1,29,334816,1,7349400.2,23508402.8,0,0,92.2,135.2,99.9,143.3,2298.3,6.9
Office,1,2,144195,1,9902306.4,0,16758983.9,15869075.7,295,432.3,297.3,436.8,3363.4,23.3
Multifamily Housing,1,4,87527,1,6167097.9,1133524.8,0,0,83.4,210.9,88.4,224.3,941,10.8
Multifamily Housing,4,97,76478,1,732331.5,2333021.4,0,0,43.2,63.5,46.5,66.3,228.5,3.2
K-12 School,1.5,38,42533,1,678257.1,3476559.8,0,0,97.7,130.5,106,137.9,281.5,6.6
Multifamily Housing,4,100,64000,1,646778.7,1115773.8,0,0,32.6,55.2,32,53.3,151.6,2.8
Multifamily Housing,4,92,52100,1,674670.5,2139004.6,0,0,54,79.4,58.3,82.8,210,4
Senior Living Community,3,50,65505,1,1717532.6,4273400.2,0,0,91.5,141.9,97.9,147.7,472.3,7.2
Senior Living Community,2.5,35,77713,1,3112722.2,7144600.1,0,0,170.8,270,176.6,273.4,824.1,13.7
Retail Store,2,30,384492,1,5461247.2,5673562.4,0,0,103.3,197.2,109.5,200.9,1081.4,10
Supermarket/Grocery Store,1.5,38,58052,1,7367552.1,9706629.7,0,0,294.1,530.9,294.1,530.9,1567.8,27
K-12 School,3.5,75,117000,1,1523557.3,6687220.3,0,0,70.2,96.5,77.9,104.5,572.8,4.9
Multifamily Housing,4,100,63875,1,563024.4,2405251.6,0,0,58.1,80.3,63.1,85.2,208.2,4.1
Senior Living Community,3.5,57,54800,1,908158.4,1684100,0,0,47.3,78.7,50.3,81.2,219.2,4
Multifamily Housing,4,88,76000,1,1442863.8,2640000.5,0,0,67.2,112,70.7,114.4,346.3,5.7
Supermarket/Grocery Store,4,79,65227,1,7321896.1,4700100.3,0,0,184.3,390,191.5,393.8,1295.4,19.9
Multifamily Housing,3.5,73,198000,1,4191399.7,6184009.6,0,0,61.8,108.5,62.9,108.6,927.1,5.5
Multifamily Housing,4,99,100448,1,1428962.7,2296290.7,0,0,37.1,63.8,38.7,64.7,326.1,3.2
Multifamily Housing,4,66,225000,1,4454270.5,8887607.8,0,0,59.3,96.9,63.4,100.3,1108.3,4.9
Multifamily Housing,3,62,157844,1,2704689,11101390.4,0,0,87.5,121.8,94.9,129.6,975.9,6.2
Multifamily Housing,4,62,142500,1,2684247.7,5241013.2,0,0,55.6,91.4,59.1,94.6,661.8,4.6
Multifamily Housing,1,10,121000,1,8082059,0,0,0,66.8,187,70.1,196.4,1154.3,9.5
Multifamily Housing,4,100,67147,1,1382992.8,1949.4,0,0,20.6,57.7,20.6,57.7,197.6,2.9
Multifamily Housing,1,2,107500,1,937562.3,20836703.9,0,0,202.6,227.9,221.1,246.8,1240.6,11.5
Multifamily Housing,4,86,101941,1,4608001.5,2746909.9,0,0,72.1,154.9,75.4,158.2,804,7.9
Multifamily Housing,1,3,107500,1,1107123.7,19091971.4,0,0,187.9,215.3,206.1,233.9,1172.2,10.9
Multifamily Housing,1,2,107500,1,1077848.8,19593728.3,0,0,192.3,219.5,209.4,236.8,1194.7,11.1
Multifamily Housing,1,1,107500,1,1086759.2,21494290.6,0,0,210.1,238.3,228,256.4,1296.9,12.1
Multifamily Housing,2.5,38,85683,1,2718759.1,3474651.9,0,0,77.9,141.7,80.8,144.3,572.9,7.2
Multifamily Housing,4,65,55932,1,1038353.8,4621300.2,0,0,101.2,138.7,105.3,142.4,393.8,7
Multifamily Housing,4,86,101710,1,780481.4,5144158.7,0,0,71.4,91.5,76.3,95.8,384.7,4.6
Senior Living Community,2.5,35,78317,1,2957652.3,3306200.1,0,0,80,150.1,83.5,152.5,598,7.6
Senior Living Community,1.5,34,68875,1,3907429.2,9529603.8,0,0,228.2,355.8,236.9,359.1,1064.2,18.1
Office,2,49,112700,1,8774735.9,0,0,0,77.9,218,79.7,223.2,1253.3,11.1
Multifamily Housing,4,85,60000,1,864092.4,3125195.8,0,0,66.5,95,70.4,97.6,289.4,4.8
K-12 School,3.5,72,68032,1,834875.5,3647010,0,0,65.9,90.6,74.8,100,313,4.6
Multifamily Housing,4,93,144000,1,2188245.3,4722165,0,0,49.7,79.8,53.4,82.7,563.4,4.1
Office,4,86,81000,1,996206.1,3003717.4,0,0,49.4,73.4,55.1,80.1,301.8,3.7
Office,3,47,198650,1,13452843.8,0,0,4027092.2,88,208.1,90.6,219.8,2133.7,10.7
Multifamily Housing,4,85,170184,1,2852124.6,5111121.4,0,0,46.8,78.5,49.5,80.5,678.8,4
Office,4,81,109363,1,2642019.1,7851742.1,0,0,101,150.6,110.7,160.7,794.4,7.6
Residence Hall/Dormitory,2.5,59,104965,1,2914582.3,6015300.1,0,1412388,98.5,150.2,102.7,154.4,840.1,8
Office,3,46,90318,1,6259133.2,0,0,0,69.3,194,74.2,207.8,894,9.9
Office,2,50,75340,1,3354409.9,2362672.5,0,0,75.9,157.6,78.9,160.6,604.6,8
Multifamily Housing,3.5,75,118904,3,1863061.2,2837600.3,0,0,59.6,103.9,62.6,107,416.8,5.3
Hotel,1,13,85000,1,6189890,1335985.1,0,3337439.9,127.8,256.1,127.5,263.3,1130.9,13.3
