Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Multifamily Housing,3,70,211558,1,3761132.9,12717899.8,0,0,88.9,128.9,95.4,134.7,1212.7,6.5
Multifamily Housing,1,9,192102,1,5717314.4,10243789.2,0,0,108.5,181.9,113.1,183.8,1360.7,9.2
K-12 School,3.5,80,713935,2,11675185,30899770.6,0,0,59.6,91.2,66,97.9,3308.8,4.6
K-12 School,3.5,73,266099,3,4440349.5,13535600,0,0,67.6,100.1,75,107.9,1353.1,5.1
Multifamily Housing,4,81,62341,1,1142589.7,3390133.5,0,0,75.9,113.2,80.7,116.6,343.3,5.7
Multifamily Housing,3.5,73,95110,1,3310161.4,2056440.5,0,0,56.4,120.2,59.1,124.9,582,6.1
K-12 School,1,30,291204,3,8531085,21029918.8,0,0,101.5,157.9,111.1,167.9,2335.5,8
Multifamily Housing,1,1,94430,1,4937068.5,1025891.8,0,0,86.7,216.6,91,227.9,759.6,11
K-12 School,1,9,90595,1,2854454.3,1473926,7104980.8,2492880.1,153.7,224.7,156.3,229.1,1089.1,12
Multifamily Housing,2.5,57,145338,1,1900559.1,9055168.1,0,0,109.2,147.8,118,157.1,752.4,7.5
Hospital (General Medical & Surgical),3,68,637903,1,28868225.7,53781705.7,0,0,225,373.7,230,375.6,6979.8,19
Multifamily Housing,2,44,60000,1,960648.3,4402361,0,0,89.4,121.9,96.3,127.6,371,6.2
Multifamily Housing,1,24,97200,1,3413594.1,6133000.3,0,0,98.2,164.5,104.8,168.1,812.8,8.4
Multifamily Housing,2.5,57,69353,1,2013241.4,6250299.6,0,0,156.1,230.4,164.7,239.5,619.5,11.7
Multifamily Housing,4,100,82716,1,993134.9,1078580.5,0,0,25,47.3,24.7,46.4,199.1,2.4
Senior Living Community,1,10,60000,1,1595618.4,5109400.1,0,0,111.8,163.9,121.5,172.7,499.3,8.3
Multifamily Housing,4,87,185964,1,3851840.9,5597066,0,0,58.7,103.5,61.2,104.7,847.4,5.3
Senior Living Community,1,19,70370,1,1792095,4248400.1,0,0,85.8,134.7,91.7,139.3,481.6,6.8
Multifamily Housing,3,68,88384,1,1589817,3817756.5,0,0,61.2,95.7,64.8,99.5,429.8,4.9
Multifamily Housing,4,73,77900,1,1334238.7,4166483.5,0,0,75.4,111.1,82.9,118.4,411.9,5.6
Senior Living Community,4,64,89556,1,2645484,3634000,0,0,70.1,125.3,73.2,127.8,570.9,6.4
Multifamily Housing,4,84,68400,1,564713.3,3581458.3,0,0,60.6,78.1,65.3,82.4,270.9,4
Senior Living Community,2,48,60600,1,1594581.1,3806999.9,0,0,89.1,139.6,95.2,145.6,430,7.1
Multifamily Housing,1,22,120728,1,3251721.3,9132836.5,0,0,102.6,154.8,110.2,160.7,949.5,7.9
Multifamily Housing,3,66,154140,3,2619839.4,12022764.3,0,0,95,129.5,101.1,134.8,1012.8,6.6
Multifamily Housing,4,99,202071,1,2326585.5,5505413.5,0,0,42.2,66.3,44.4,67.9,624.7,3.4
